module	operator	source_csv	ms_double_bound	ms_float_bound
SuperPixel	SLICImageFilter	construct2_1024_bound.csv	219.9676	222.7619
ImageStatistics	SumProjectionImageFilter	construct2_1024_bound.csv	1.9505	1.3507
Thresholding	ThresholdImageFilter	construct2_1024_bound.csv	1.5558	0.7402
Thresholding	ThresholdLabelerImageFilter	construct2_1024_bound.csv	1.6918	0.7531
Deconvolution	TikhonovDeconvolutionImageFilter	construct2_1024_bound.csv	218.6277	211.3301
Watersheds	TobogganImageFilter	construct2_1024_bound.csv	121.9029	113.3127
ImageIntensity	VectorMagnitudeImageFilter	construct2_1024_bound.csv	4.2486	2.5380
LabelVoting	VotingBinaryIterativeHoleFillingImageFilter	construct2_1024_bound.csv	2.3358	2.2812
ImageGrid	WarpImageFilter	construct2_1024_bound.csv	2.1165	1.7322
ImageIntensity	WeightedAddImageFilter	construct2_1024_bound.csv	1.7097	0.7153
Deconvolution	WienerDeconvolutionImageFilter	construct2_1024_bound.csv	212.5720	211.3942
ImageIntensity	XorImageFilter	construct2_1024_bound.csv	1.0202	1.0053
ImageStatistics	AccumulateImageFilter	construct3_1024_bound.csv	16.8210	13.4786
ImageStatistics	BinaryProjectionImageFilter	construct3_1024_bound.csv	1.2342	1.2809
LabelMap	BinaryShapeKeepNObjectsImageFilter	construct3_1024_bound.csv	8.7455	8.5797
Thresholding	BinaryThresholdProjectionImageFilter	construct3_1024_bound.csv	2.3780	1.3624
ImageGrid	BSplineDownsampleImageFilter	construct3_1024_bound.csv	13.1648	10.2152
ImageGrid	BSplineUpsampleImageFilter	construct3_1024_bound.csv	87.0754	63.8826
DisplacementField	ComposeDisplacementFieldsImageFilter	construct3_1024_bound.csv	6.2867	3.6538
ImageIntensity	ConstrainedValueDifferenceImageFilter	construct3_1024_bound.csv	1.1022	0.5424
DistanceMap	ContourDirectedMeanDistanceImageFilter	construct3_1024_bound.csv	10.6658	9.0445
DistanceMap	ContourMeanDistanceImageFilter	construct3_1024_bound.csv	22.5678	19.6791
ImageGradient	DifferenceOfGaussiansGradientImageFilter	construct3_1024_bound.csv	13.4563	11.9017
DistanceMap	DirectedHausdorffDistanceImageFilter	construct3_1024_bound.csv	10.9660	8.5908
MathematicalMorphology	DoubleThresholdImageFilter	construct3_1024_bound.csv	96.6138	76.4531
DisplacementField	ExponentialDisplacementFieldImageFilter	construct3_1024_bound.csv	3.3735	3.1325
BinaryMathematicalMorphology	FastIncrementalBinaryDilateImageFilter	construct3_1024_bound.csv	37.8968	36.1891
PDEDeformable	FastSymmetricForcesDemonsRegistrationFilter	construct3_1024_bound.csv	74.6835	117.5230
Smoothing	FFTDiscreteGaussianImageFilter	construct3_1024_bound.csv	218.5589	219.3950
ImageSources	GaborImageSource	construct3_1024_bound.csv	104.5851	105.1574
ImageSources	GaussianImageSource	construct3_1024_bound.csv	32.8603	32.7436
ImageGradient	GradientRecursiveGaussianImageFilter	construct3_1024_bound.csv	40.9321	29.7785
ConnectedComponents	HardConnectedComponentImageFilter	construct3_1024_bound.csv	16.8950	16.4448
ImageFeature	HessianRecursiveGaussianImageFilter	construct3_1024_bound.csv	35.2820	33.6295
ImageFeature	HoughTransform2DCirclesImageFilter	construct3_1024_bound.csv	340.5836	327.9146
Deconvolution	InverseDeconvolutionImageFilter	construct3_1024_bound.csv	222.2555	221.3999
Watersheds	IsolatedWatershedImageFilter	construct3_1024_bound.csv	1479.9124	1534.4673
LabelVoting	LabelVotingImageFilter	construct3_1024_bound.csv	13.7589	12.2975
ImageStatistics	MedianProjectionImageFilter	construct3_1024_bound.csv	2.2293	1.6425
ImageStatistics	MinimumMaximumImageFilter	construct3_1024_bound.csv	1.0681	0.5514
Watersheds	MorphologicalWatershedFromMarkersImageFilter	construct3_1024_bound.csv	128.2410	123.6461
ImageIntensity	NaryAddImageFilter	construct3_1024_bound.csv	1.7733	1.0296
ImageIntensity	NaryMaximumImageFilter	construct3_1024_bound.csv	3.5886	1.9443
Deconvolution	ProjectedLandweberDeconvolutionImageFilter	construct3_1024_bound.csv	589.6961	584.4340
LabelMap	ShapeRelabelImageFilter	construct3_1024_bound.csv	5.7471	5.4559
ImageStatistics	StandardDeviationProjectionImageFilter	construct3_1024_bound.csv	2.1549	1.5290
ImageCompare	STAPLEImageFilter	construct3_1024_bound.csv	32.2864	37.1313
ImageStatistics	StatisticsImageFilter	construct3_1024_bound.csv	1.3991	0.7894
PDEDeformable	SymmetricForcesDemonsRegistrationFilter	construct3_1024_bound.csv	45.7087	34.9831
ImageIntensity	TernaryAddImageFilter	construct3_1024_bound.csv	1.6195	0.7760
ConnectedComponents	ThresholdMaximumConnectedComponentsImageFilter	construct3_1024_bound.csv	162.9058	157.9183
ImageGrid	TileImageFilter	construct3_1024_bound.csv	2.6133	1.3237
FFT	VnlForwardFFTImageFilter	construct3_1024_bound.csv	146.9076	122.7988
FFT	VnlInverseFFTImageFilter	construct3_1024_bound.csv	276.4924	240.5228
Watersheds	WatershedImageFilter	construct3_1024_bound.csv	335.7351	326.8760
ImageStatistics	AdaptiveHistogramEqualizationImageFilter	construct_1024_bound.csv	21.0833	23.7979
ImageNoise	AdditiveGaussianNoiseImageFilter	construct_1024_bound.csv	1.7907	0.9174
AntiAlias	AntiAliasBinaryImageFilter	construct_1024_bound.csv	75.9427	69.1919
DistanceMap	ApproximateSignedDistanceMapImageFilter	construct_1024_bound.csv	90.9902	79.6942
ImageLabel	BinaryContourImageFilter	construct_1024_bound.csv	2.1185	1.9573
LabelVoting	BinaryMedianImageFilter	construct_1024_bound.csv	1.0846	1.2274
Smoothing	BinomialBlurImageFilter	construct_1024_bound.csv	76.1965	141.2012
ImageGrid	BinShrinkImageFilter	construct_1024_bound.csv	1.1104	0.5293
ImageFeature	CannyEdgeDetectionImageFilter	construct_1024_bound.csv	21.2230	19.1139
ImageGrid	ChangeInformationImageFilter	construct_1024_bound.csv	1.0791	0.0246
ImageIntensity	ClampImageFilter	construct_1024_bound.csv	1.2669	0.4984
ImageGrid	ConstantPadImageFilter	construct_1024_bound.csv	1.4431	0.7064
ImageGrid	CropImageFilter	construct_1024_bound.csv	1.1711	0.4903
ImageGrid	CyclicShiftImageFilter	construct_1024_bound.csv	1.5951	0.8469
ImageFeature	DerivativeImageFilter	construct_1024_bound.csv	3.7847	1.5138
ImageFeature	DiscreteGaussianDerivativeImageFilter	construct_1024_bound.csv	9.7840	7.8634
ImageGrid	ExpandImageFilter	construct_1024_bound.csv	2.4102	1.4761
DistanceMap	FastChamferDistanceImageFilter	construct_1024_bound.csv	73.1071	66.2936
ImageGrid	FlipImageFilter	construct_1024_bound.csv	1.2464	0.5101
ImageGradient	GradientMagnitudeRecursiveGaussianImageFilter	construct_1024_bound.csv	25.1490	20.5170
Thresholding	HuangThresholdImageFilter	construct_1024_bound.csv	5.5896	4.8936
ImageIntensity	IntensityWindowingImageFilter	construct_1024_bound.csv	1.7625	0.8280
Thresholding	IntermodesThresholdImageFilter	construct_1024_bound.csv	4.5584	3.7032
DistanceMap	IsoContourDistanceImageFilter	construct_1024_bound.csv	11.3825	11.9621
Thresholding	IsoDataThresholdImageFilter	construct_1024_bound.csv	4.6878	4.2271
Thresholding	KittlerIllingworthThresholdImageFilter	construct_1024_bound.csv	5.6534	4.3431
Thresholding	LiThresholdImageFilter	construct_1024_bound.csv	5.4802	4.3369
ImageIntensity	Log10ImageFilter	construct_1024_bound.csv	3.1966	1.5520
ImageIntensity	LogImageFilter	construct_1024_bound.csv	3.1500	1.9596
Thresholding	MaximumEntropyThresholdImageFilter	construct_1024_bound.csv	8.0328	6.9789
CurvatureFlow	MinMaxCurvatureFlowImageFilter	construct_1024_bound.csv	33.4399	36.1486
ImageGrid	MirrorPadImageFilter	construct_1024_bound.csv	1.2188	0.5241
Thresholding	MomentsThresholdImageFilter	construct_1024_bound.csv	5.0893	4.2680
Registration	MultiResolutionPyramidImageFilter	construct_1024_bound.csv	10.9873	6.8332
ImageIntensity	NormalizeToConstantImageFilter	construct_1024_bound.csv	2.3870	1.5049
Thresholding	OtsuMultipleThresholdsImageFilter	construct_1024_bound.csv	60.8047	56.8250
MathematicalMorphology	RankImageFilter	construct_1024_bound.csv	8.3432	11.1496
Registration	RecursiveMultiResolutionPyramidImageFilter	construct_1024_bound.csv	4.9319	3.8212
ImageGrid	RegionOfInterestImageFilter	construct_1024_bound.csv	1.2478	0.5190
Thresholding	RenyiEntropyThresholdImageFilter	construct_1024_bound.csv	9.6019	8.7093
ImageNoise	SaltAndPepperNoiseImageFilter	construct_1024_bound.csv	1.5747	0.8981
Thresholding	ShanbhagThresholdImageFilter	construct_1024_bound.csv	7.3947	6.5518
ImageNoise	ShotNoiseImageFilter	construct_1024_bound.csv	2.7878	1.7834
ImageGrid	ShrinkImageFilter	construct_1024_bound.csv	1.0956	0.4905
ImageIntensity	SigmoidImageFilter	construct_1024_bound.csv	2.7263	1.6557
ImageFeature	SimpleContourExtractorImageFilter	construct_1024_bound.csv	2.4477	0.7611
ImageNoise	SpeckleNoiseImageFilter	construct_1024_bound.csv	92.5558	96.0521
Thresholding	TriangleThresholdImageFilter	construct_1024_bound.csv	5.2616	4.1540
ImageFeature	UnsharpMaskImageFilter	construct_1024_bound.csv	12.8916	8.7967
LabelVoting	VotingBinaryHoleFillingImageFilter	construct_1024_bound.csv	1.2228	1.0778
LabelVoting	VotingBinaryImageFilter	construct_1024_bound.csv	1.3979	1.2182
ImageGrid	WrapPadImageFilter	construct_1024_bound.csv	1.1857	0.5557
Thresholding	YenThresholdImageFilter	construct_1024_bound.csv	4.9648	4.2388
ImageFeature	ZeroCrossingBasedEdgeDetectionImageFilter	construct_1024_bound.csv	12.5059	6.0226
ImageGrid	ZeroFluxNeumannPadImageFilter	construct_1024_bound.csv	1.1804	0.4971
