module	operator	source_csv	ms_double_bound	ms_float_bound
Common	PointSetToImageRegistrationMethod	metric_1024_bound.csv	32.9916	31.8833
Common	PointSetToPointSetRegistrationMethod	metric_1024_bound.csv	125.0744	123.8677
Metricsv4	MeanSquaresImageToImageMetricv4	metric_1024_bound.csv	34.2401	35.7390
Metricsv4	CorrelationImageToImageMetricv4	metric_1024_bound.csv	36.1614	36.3996
Metricsv4	DemonsImageToImageMetricv4	metric_1024_bound.csv	49.3160	45.1266
Metricsv4	ANTSNeighborhoodCorrelationImageToImageMetricv4	metric_1024_bound.csv	46.9349	55.0771
Metricsv4	JointHistogramMutualInformationImageToImageMetricv4	metric_1024_bound.csv	55.9281	61.0904
Metricsv4	MattesMutualInformationImageToImageMetricv4	metric_1024_bound.csv	50.7363	51.8108
Metricsv4	ObjectToObjectMultiMetricv4	metric_1024_bound.csv	63.3652	68.6992
Metricsv4	EuclideanDistancePointSetToPointSetMetricv4	metric_1024_bound.csv	22.0539	19.7300
Metricsv4	ExpectationBasedPointSetToPointSetMetricv4	metric_1024_bound.csv	1.6145	1.6432
Metricsv4	JensenHavrdaCharvatTsallisPointSetToPointSetMetricv4	metric_1024_bound.csv	4.4774	4.3303
ImageGrid	BSplineScatteredDataPointSetToImageFilter	metric_1024_bound.csv	10.5775	10.5120
Path	ContourExtractor2DImageFilter	path_mesh_1024_bound.csv	70.7187	56.3191
Path	PathToImageFilter	path_mesh_1024_bound.csv	0.3701	0.4098
Path	PathToChainCodePathFilter	path_mesh_1024_bound.csv	0.0349	0.0386
Path	ChainCodeToFourierSeriesPathFilter	path_mesh_1024_bound.csv	0.2076	0.2230
Path	ExtractOrthogonalSwath2DImageFilter	path_mesh_1024_bound.csv	0.7912	0.2148
QuadEdgeMeshFiltering	SmoothingQuadEdgeMeshFilter	path_mesh_1024_bound.csv	10.1750	10.0713
QuadEdgeMeshFiltering	CleanQuadEdgeMeshFilter	path_mesh_1024_bound.csv	25.3370	25.2899
QuadEdgeMeshFiltering	DelaunayConformingQuadEdgeMeshFilter	path_mesh_1024_bound.csv	8.3047	8.2345
QuadEdgeMeshFiltering	DiscreteMeanCurvatureQuadEdgeMeshFilter	path_mesh_1024_bound.csv	15.4410	15.2014
QuadEdgeMeshFiltering	DiscreteGaussianCurvatureQuadEdgeMeshFilter	path_mesh_1024_bound.csv	12.4015	12.3714
QuadEdgeMeshFiltering	DiscreteMaximumCurvatureQuadEdgeMeshFilter	path_mesh_1024_bound.csv	16.2164	16.0679
QuadEdgeMeshFiltering	DiscreteMinimumCurvatureQuadEdgeMeshFilter	path_mesh_1024_bound.csv	16.1716	15.9959
MathematicalMorphology	AnchorDilateImageFilter	remain_1024_bound.csv	14.8354	14.1844
MathematicalMorphology	AnchorErodeImageFilter	remain_1024_bound.csv	14.1492	16.9157
MathematicalMorphology	AnchorOpenImageFilter	remain_1024_bound.csv	10.3736	11.9998
MathematicalMorphology	AnchorCloseImageFilter	remain_1024_bound.csv	11.0614	17.4483
MathematicalMorphology	BasicDilateImageFilter	remain_1024_bound.csv	1.2764	1.3956
MathematicalMorphology	BasicErodeImageFilter	remain_1024_bound.csv	1.2761	1.4194
MathematicalMorphology	GrayscaleFunctionDilateImageFilter	remain_1024_bound.csv	2.1243	2.1061
MathematicalMorphology	GrayscaleFunctionErodeImageFilter	remain_1024_bound.csv	1.4082	1.4615
MathematicalMorphology	MovingHistogramDilateImageFilter	remain_1024_bound.csv	7.6823	6.9715
MathematicalMorphology	MovingHistogramErodeImageFilter	remain_1024_bound.csv	28.1482	13.4326
MathematicalMorphology	MovingHistogramMorphologicalGradientImageFilter	remain_1024_bound.csv	7.9598	8.6543
MathematicalMorphology	VanHerkGilWermanDilateImageFilter	remain_1024_bound.csv	1.0063	0.9597
MathematicalMorphology	VanHerkGilWermanErodeImageFilter	remain_1024_bound.csv	1.4120	1.1929
MathematicalMorphology	GrayscaleConnectedOpeningImageFilter	remain_1024_bound.csv	437.6210	417.0609
MathematicalMorphology	GrayscaleConnectedClosingImageFilter	remain_1024_bound.csv	343.5134	312.4202
MathematicalMorphology	GrayscaleGeodesicDilateImageFilter	remain_1024_bound.csv	16.4430	13.4803
MathematicalMorphology	GrayscaleGeodesicErodeImageFilter	remain_1024_bound.csv	16.0151	12.9751
MathematicalMorphology	ReconstructionByDilationImageFilter	remain_1024_bound.csv	93.1090	89.7014
MathematicalMorphology	ReconstructionByErosionImageFilter	remain_1024_bound.csv	94.6821	88.0785
MathematicalMorphology	MaskedRankImageFilter	remain_1024_bound.csv	2.0608	1.2893
LabelMap	BinaryShapeOpeningImageFilter	remain_1024_bound.csv	4.7015	4.6604
LabelMap	BinaryStatisticsOpeningImageFilter	remain_1024_bound.csv	7.1439	6.4141
LabelMap	BinaryStatisticsKeepNObjectsImageFilter	remain_1024_bound.csv	8.5609	7.7834
LabelMap	LabelShapeOpeningImageFilter	remain_1024_bound.csv	2.2604	2.5852
LabelMap	LabelShapeKeepNObjectsImageFilter	remain_1024_bound.csv	2.8855	2.9510
LabelMap	LabelStatisticsOpeningImageFilter	remain_1024_bound.csv	170.8849	168.9820
LabelMap	LabelStatisticsKeepNObjectsImageFilter	remain_1024_bound.csv	171.5745	169.1040
LabelMap	StatisticsRelabelImageFilter	remain_1024_bound.csv	172.0832	169.4332
LabelMap	BinaryReconstructionByDilationImageFilter	remain_1024_bound.csv	4.6956	4.3720
LabelMap	BinaryReconstructionByErosionImageFilter	remain_1024_bound.csv	8.4082	9.0328
LabelMap	LabelImageToShapeLabelMapFilter	remain_1024_bound.csv	2.6533	2.6692
LabelMap	LabelImageToStatisticsLabelMapFilter	remain_1024_bound.csv	171.0421	168.7128
LabelMap	BinaryImageToStatisticsLabelMapFilter	remain_1024_bound.csv	5.7263	5.2680
LabelMap	ShapeOpeningLabelMapFilter	remain_1024_bound.csv	0.0215	0.0235
LabelMap	ShapeRelabelLabelMapFilter	remain_1024_bound.csv	0.0189	0.0204
LabelMap	ShapeUniqueLabelMapFilter	remain_1024_bound.csv	0.0177	0.0189
LabelMap	AutoCropLabelMapFilter	remain_1024_bound.csv	0.0365	0.0430
LabelMap	ShiftScaleLabelMapFilter	remain_1024_bound.csv	0.0192	0.0207
LabelMap	LabelSelectionLabelMapFilter	remain_1024_bound.csv	0.0237	0.0248
LabelMap	MergeLabelMapFilter	remain_1024_bound.csv	0.0233	0.0252
LabelMap	AggregateLabelMapFilter	remain_1024_bound.csv	0.0195	0.0203
LabelMap	PadLabelMapFilter	remain_1024_bound.csv	0.0380	0.0510
LabelMap	CropLabelMapFilter	remain_1024_bound.csv	0.0196	0.0205
LabelMap	StatisticsOpeningLabelMapFilter	remain_1024_bound.csv	0.0244	0.0267
LabelMap	StatisticsRelabelLabelMapFilter	remain_1024_bound.csv	0.0184	0.0211
LabelMap	StatisticsKeepNObjectsLabelMapFilter	remain_1024_bound.csv	0.0256	0.0287
LabelMap	LabelMapMaskImageFilter	remain_1024_bound.csv	3.0102	2.7815
LabelMap	LabelMapToAttributeImageFilter	remain_1024_bound.csv	0.0239	0.0235
DisplacementField	IterativeInverseDisplacementFieldImageFilter	remain_1024_bound.csv	532.4536	573.5148
DisplacementField	DisplacementFieldToBSplineImageFilter	remain_1024_bound.csv	4.9046	5.0524
DisplacementField	TransformToDisplacementFieldFilter	remain_1024_bound.csv	0.6411	0.7900
FFT	VnlForward1DFFTImageFilter	remain_1024_bound.csv	1.8332	1.4999
FFT	VnlInverse1DFFTImageFilter	remain_1024_bound.csv	1.7748	1.6856
FFT	VnlRealToHalfHermitianForwardFFTImageFilter	remain_1024_bound.csv	142.5740	122.9410
FFT	VnlHalfHermitianToRealInverseFFTImageFilter	remain_1024_bound.csv	143.8535	124.6178
FFT	FullToHalfHermitianImageFilter	remain_1024_bound.csv	1.1925	0.9509
FFT	HalfToFullHermitianImageFilter	remain_1024_bound.csv	1.8358	0.9004
FFT	ComplexToModulusImageFilter	remain_1024_bound.csv	0.9480	0.8317
FFT	ComplexToRealImageFilter	remain_1024_bound.csv	0.9857	0.7757
FFT	ComplexToImaginaryImageFilter	remain_1024_bound.csv	0.8348	0.8005
FFT	ComplexToPhaseImageFilter	remain_1024_bound.csv	1.5754	1.2715
AnisotropicSmoothing	VectorGradientAnisotropicDiffusionImageFilter	remain_1024_bound.csv	236.8593	255.8164
AnisotropicSmoothing	VectorCurvatureAnisotropicDiffusionImageFilter	remain_1024_bound.csv	246.1250	248.4258
ImageIntensity	VectorRescaleIntensityImageFilter	remain_1024_bound.csv	3.2260	3.1331
ImageIntensity	VectorIndexSelectionCastImageFilter	remain_1024_bound.csv	0.7839	0.7544
ImageGrid	WarpVectorImageFilter	remain_1024_bound.csv	1.4836	1.5608
ImageIntensity	TernaryMagnitudeImageFilter	remain_1024_bound.csv	1.0722	0.9053
ImageIntensity	BinaryMagnitudeImageFilter	remain_1024_bound.csv	0.9723	0.9307
ImageIntensity	EdgePotentialImageFilter	remain_1024_bound.csv	3.3841	3.7060
ImageFusion	LabelToRGBImageFilter	remain_1024_bound.csv	1.5985	1.5595
ImageFusion	LabelOverlayImageFilter	remain_1024_bound.csv	2.0979	1.9394
ImageIntensity	RGBToLuminanceImageFilter	remain_1024_bound.csv	3.1462	3.1703
ImageGrid	InterpolateImageFilter	remain_1024_bound.csv	13.1911	14.4971
ImageGrid	SliceImageFilter	remain_1024_bound.csv	0.9611	0.8442
Thresholding	HistogramThresholdImageFilter	remain_1024_bound.csv	3.6478	3.3851
BiasCorrection	N4BiasFieldCorrectionImageFilter	remain_1024_bound.csv	354.5860	363.8183
ImageSources	GridImageSource	remain_1024_bound.csv	53.6067	52.0352
ImageSources	PhysicalPointImageSource	remain_1024_bound.csv	1.2736	1.2960
ImageFeature	HoughTransform2DLinesImageFilter	remain_1024_bound.csv	0.1800	0.0796
ImageFeature	HessianToObjectnessMeasureImageFilter	remain_1024_bound.csv	43.1541	40.2955
ImageStatistics	LabelOverlapMeasuresImageFilter	remain_1024_bound.csv	1.1039	0.8759
ImageStatistics	LabelStatisticsImageFilter	remain_1024_bound.csv	0.7835	1.0555
Common	ImageRegistrationMethod	remain_1024_bound.csv	116.7234	108.6244
PDEDeformable	DiffeomorphicDemonsRegistrationFilter	remain_1024_bound.csv	113.4916	80.0573
PDEDeformable	LevelSetMotionRegistrationFilter	remain_1024_bound.csv	79.0054	32.5031
Common	BlockMatchingImageFilter	remain_1024_bound.csv	0.7972	0.7179
Denoising	PatchBasedDenoisingImageFilter	remain_1024_bound.csv	893.6198	847.9688
Voronoi	VoronoiSegmentationImageFilter	remain_1024_bound.csv	1.0918	1.0800
Voronoi	VoronoiPartitioningImageFilter	remain_1024_bound.csv	1.2332	1.2497
LabelVoting	MultiLabelSTAPLEImageFilter	remain_1024_bound.csv	112.8622	111.4031
Classifiers	BayesianClassifierInitializationImageFilter	remain_1024_bound.csv	2815.3770	2779.1755
ImageIntensity	TernaryMagnitudeSquaredImageFilter	remain_1024_bound.csv	0.7782	0.6966
ImageIntensity	MagnitudeAndPhaseToComplexImageFilter	remain_1024_bound.csv	4.8374	3.6850
ImageGrid	PadImageFilter	remain_1024_bound.csv	0.8422	0.8206
ImageGradient	VectorGradientMagnitudeImageFilter	remain_1024_bound.csv	832.9583	832.3212
ImageFrequency	FrequencyBandImageFilter	remain_1024_bound.csv	1.8722	1.2319
ImageFusion	LabelMapOverlayImageFilter	remain_1024_bound.csv	0.0528	0.0528
ImageFusion	LabelMapToRGBImageFilter	remain_1024_bound.csv	0.0224	0.0242
LabelMap	ChangeRegionLabelMapFilter	remain_1024_bound.csv	0.0194	0.0212
LabelMap	ShapeLabelMapFilter	remain_1024_bound.csv	0.0195	0.0206
LabelMap	StatisticsLabelMapFilter	remain_1024_bound.csv	0.0298	0.0305
LabelMap	ConvertLabelMapFilter	remain_1024_bound.csv	0.0187	0.0198
