module,operator,ms_float,ms_double,speedup,max_abs,rmse
ImageIntensity,AndImageFilter,0.5057,0.5538,1.0951,0.00000000,0.00000000
LabelMap,BinaryImageToLabelMapFilter,4.5856,4.7297,1.0314,0.00000000,0.00000000
LabelMap,BinaryImageToShapeLabelMapFilter,7.2895,8.0924,1.1102,0.00000000,0.00000000
CurvatureFlow,BinaryMinMaxCurvatureFlowImageFilter,21.8004,21.1202,0.9688,0.68359375,0.01732851
ImageIntensity,BinaryNotImageFilter,1.0021,1.0182,1.0161,0.00000000,0.00000000
ImageLabel,ChangeLabelImageFilter,1.0413,1.0547,1.0129,0.00000000,0.00000000
LabelMap,ChangeLabelLabelMapFilter,7.3409,7.9711,1.0859,0.00000000,0.00000000
ImageCompare,CheckerBoardImageFilter,0.7958,1.5740,1.9779,0.00000000,0.00000000
ImageCompose,ComposeImageFilter,0.9686,1.7447,1.8012,0.00000000,0.00000000
ConnectedComponents,ConnectedComponentImageFilter,4.1297,5.9843,1.4491,0.00000000,0.00000000
ImageIntensity,ConstrainedValueAdditionImageFilter,0.5850,1.3262,2.2669,0.00000000,0.00000000
PDEDeformable,DemonsRegistrationFilter,76.9897,118.9544,1.5451,0.00000000,0.00000000
BinaryMathematicalMorphology,DilateObjectMorphologyImageFilter,1.4297,2.0368,1.4246,0.00000000,0.00000000
DisplacementField,DisplacementFieldJacobianDeterminantFilter,2.5414,2.5333,0.9968,0.00000000,0.00000000
BinaryMathematicalMorphology,ErodeObjectMorphologyImageFilter,1.8453,2.1863,1.1848,1.00000000,0.01005433
ImageGrid,ExtractImageFilter,0.6531,1.5342,2.3489,0.00000000,0.00000000
Convolution,FFTNormalizedCorrelationImageFilter,11144.8767,15621.9139,1.4017,0.98673281,0.02619605
ImageGradient,GradientImageFilter,1.5841,2.4423,1.5417,0.00000000,0.00000000
DistanceMap,HausdorffDistanceImageFilter,20.6315,24.3082,1.1782,0.00000000,0.00000000
ImageIntensity,HistogramMatchingImageFilter,92.6769,97.0698,1.0474,0.00000000,0.00000000
Thresholding,HistogramThresholdImageFilter,FAIL,FAIL,FAIL,ITK ERROR: HistogramThresholdImageFilter(0x2337df80): No threshold calculator set.,
DisplacementField,InvertDisplacementFieldImageFilter,19.8332,33.3201,1.6800,0.00000000,0.00000000
ImageCompose,JoinImageFilter,0.5712,1.3244,2.3184,0.00000000,0.00000000
ImageCompose,JoinSeriesImageFilter,0.8325,2.5168,3.0230,0.00000000,0.00000000
Thresholding,KappaSigmaThresholdImageFilter,12.9218,15.6610,1.2120,0.00000000,0.00000000
ImageLabel,LabelContourImageFilter,1.5572,1.4622,0.9390,0.00000000,0.00000000
LabelMap,LabelImageToLabelMapFilter,1.5998,1.5832,0.9896,0.00000000,0.00000000
LabelMap,LabelMapToBinaryImageFilter,7.1546,8.7388,1.2214,0.00000000,0.00000000
LabelMap,LabelMapToLabelImageFilter,5.8760,5.9500,1.0126,0.00000000,0.00000000
Deconvolution,LandweberDeconvolutionImageFilter,598.3225,578.4685,0.9668,0.00000000,0.00000000
Convolution,MaskedFFTNormalizedCorrelationImageFilter,11219.0167,15682.9831,1.3979,0.98673282,0.01547188
ImageIntensity,MaskImageFilter,0.5749,1.3852,2.4093,0.00000000,0.00000000
ImageIntensity,MaskNegatedImageFilter,0.7423,1.7457,2.3517,0.00000000,0.00000000
ImageStatistics,MaximumProjectionImageFilter,1.0512,1.8589,1.7683,0.00000000,0.00000000
ImageStatistics,MeanProjectionImageFilter,1.3693,2.3505,1.7165,0.00000000,0.00000000
ImageStatistics,MinimumProjectionImageFilter,1.4888,2.3383,1.5706,0.00000000,0.00000000
ImageIntensity,ModulusImageFilter,0.5649,0.5542,0.9810,0.00000000,0.00000000
Watersheds,MorphologicalWatershedImageFilter,373.8077,437.8676,1.1714,0.00000000,0.00000000
BiasCorrection,N4BiasFieldCorrectionImageFilter,FAIL,FAIL,FAIL,ITK ERROR: N4BiasFieldCorrectionImageFilter(0x3a04d6d0): Number of iteration levels is not equal to the max number of levels.,
ImageFilterBase,NoiseImageFilter,2.1139,2.6880,1.2716,0.00000184,0.00000014
Convolution,NormalizedCorrelationImageFilter,1.9043,3.2789,1.7218,0.00000000,nan
ImageIntensity,NotImageFilter,0.5590,0.5732,1.0254,0.00000000,0.00000000
ImageIntensity,OrImageFilter,0.6518,0.7178,1.1014,0.00000000,0.00000000
ImageGrid,PasteImageFilter,0.9221,2.0321,2.2038,0.00000000,0.00000000
ImageGrid,PermuteAxesImageFilter,1.4440,2.7312,1.8914,0.00000000,0.00000000
Smoothing,RecursiveGaussianImageFilter,1.2020,1.7807,1.4814,0.00000763,0.00000356
ConnectedComponents,RelabelComponentImageFilter,1.0463,1.0611,1.0142,0.00000000,0.00000000
LabelMap,RelabelLabelMapFilter,6.3490,6.3988,1.0078,0.00000000,0.00000000
Deconvolution,RichardsonLucyDeconvolutionImageFilter,928.8300,938.1531,1.0100,0.00000000,0.00000000
ConnectedComponents,ScalarConnectedComponentImageFilter,712.2885,717.5259,1.0074,0.00000000,0.00000000
