module,operator,ms_float,ms_double,speedup,max_abs,rmse
ImageIntensity,AndImageFilter,0.9094,0.8907,0.9795,0.00000000,0.00000000
LabelMap,BinaryImageToLabelMapFilter,4.3874,5.3860,1.2276,0.00000000,0.00000000
LabelMap,BinaryImageToShapeLabelMapFilter,5.4225,5.6773,1.0470,0.00000000,0.00000000
CurvatureFlow,BinaryMinMaxCurvatureFlowImageFilter,34.4656,42.1919,1.2242,0.68359375,0.01732851
ImageIntensity,BinaryNotImageFilter,0.6748,0.6987,1.0355,0.00000000,0.00000000
ImageLabel,ChangeLabelImageFilter,0.6842,0.6251,0.9136,0.00000000,0.00000000
LabelMap,ChangeLabelLabelMapFilter,4.8194,5.1799,1.0748,0.00000000,0.00000000
ImageCompare,CheckerBoardImageFilter,0.7114,1.7924,2.5194,0.00000000,0.00000000
ImageCompose,ComposeImageFilter,1.4300,2.5585,1.7892,0.00000000,0.00000000
ConnectedComponents,ConnectedComponentImageFilter,4.8493,4.7570,0.9810,0.00000000,0.00000000
ImageIntensity,ConstrainedValueAdditionImageFilter,0.7566,1.5392,2.0343,0.00000000,0.00000000
PDEDeformable,DemonsRegistrationFilter,72.0106,79.5190,1.1043,0.00000000,0.00000000
BinaryMathematicalMorphology,DilateObjectMorphologyImageFilter,1.6592,1.9976,1.2040,0.00000000,0.00000000
DisplacementField,DisplacementFieldJacobianDeterminantFilter,2.3768,2.6367,1.1094,0.00000000,0.00000000
BinaryMathematicalMorphology,ErodeObjectMorphologyImageFilter,1.2845,1.8747,1.4595,1.00000000,0.00390625
ImageGrid,ExtractImageFilter,0.4744,1.2889,2.7169,0.00000000,0.00000000
Convolution,FFTNormalizedCorrelationImageFilter,11007.6358,15766.7944,1.4324,0.98673281,0.02619605
ImageGradient,GradientImageFilter,1.3201,2.2618,1.7134,0.00000000,0.00000000
DistanceMap,HausdorffDistanceImageFilter,15.3096,16.8998,1.1039,0.00000000,0.00000000
ImageIntensity,HistogramMatchingImageFilter,92.5681,96.2866,1.0402,0.00000000,0.00000000
Thresholding,HistogramThresholdImageFilter,FAIL,FAIL,FAIL,ITK ERROR: HistogramThresholdImageFilter(0x40cd9320): No threshold calculator set.,
DisplacementField,InvertDisplacementFieldImageFilter,38.0800,40.5953,1.0661,0.00000000,0.00000000
ImageCompose,JoinImageFilter,0.5088,1.2440,2.4450,0.00000000,0.00000000
ImageCompose,JoinSeriesImageFilter,0.7788,2.3231,2.9827,0.00000000,0.00000000
Thresholding,KappaSigmaThresholdImageFilter,12.7680,16.1574,1.2655,0.00000000,0.00000000
ImageLabel,LabelContourImageFilter,1.5152,1.5594,1.0291,0.00000000,0.00000000
LabelMap,LabelImageToLabelMapFilter,1.1618,1.1116,0.9568,0.00000000,0.00000000
LabelMap,LabelMapToBinaryImageFilter,6.9230,6.7896,0.9807,0.00000000,0.00000000
LabelMap,LabelMapToLabelImageFilter,5.2991,7.8485,1.4811,0.00000000,0.00000000
Deconvolution,LandweberDeconvolutionImageFilter,582.9973,593.7332,1.0184,0.00000000,0.00000000
Convolution,MaskedFFTNormalizedCorrelationImageFilter,11088.4318,15228.4253,1.3734,0.98673282,0.01547188
ImageIntensity,MaskImageFilter,0.6217,1.4798,2.3803,0.00000000,0.00000000
ImageIntensity,MaskNegatedImageFilter,0.5508,1.4683,2.6656,0.00000000,0.00000000
ImageStatistics,MaximumProjectionImageFilter,1.4360,2.7553,1.9188,0.00000000,0.00000000
ImageStatistics,MeanProjectionImageFilter,1.3505,2.5342,1.8765,0.00000000,0.00000000
ImageStatistics,MinimumProjectionImageFilter,1.3389,1.8099,1.3518,0.00000000,0.00000000
ImageIntensity,ModulusImageFilter,0.9515,0.9331,0.9807,0.00000000,0.00000000
Watersheds,MorphologicalWatershedImageFilter,367.9348,430.8874,1.1711,0.00000000,0.00000000
BiasCorrection,N4BiasFieldCorrectionImageFilter,FAIL,FAIL,FAIL,ITK ERROR: N4BiasFieldCorrectionImageFilter(0x3d83f210): Number of iteration levels is not equal to the max number of levels.,
ImageFilterBase,NoiseImageFilter,2.0999,3.1485,1.4994,0.00000184,0.00000014
Convolution,NormalizedCorrelationImageFilter,1.7649,2.1993,1.2461,0.00000000,nan
ImageIntensity,NotImageFilter,0.8479,0.7587,0.8948,0.00000000,0.00000000
ImageIntensity,OrImageFilter,0.7103,0.7125,1.0030,0.00000000,0.00000000
ImageGrid,PasteImageFilter,0.6742,1.5036,2.2301,0.00000000,0.00000000
ImageGrid,PermuteAxesImageFilter,1.3592,2.3787,1.7500,0.00000000,0.00000000
Smoothing,RecursiveGaussianImageFilter,1.3905,1.8598,1.3375,0.00000763,0.00000356
ConnectedComponents,RelabelComponentImageFilter,1.5398,1.4262,0.9263,0.00000000,0.00000000
LabelMap,RelabelLabelMapFilter,5.1022,5.2406,1.0271,0.00000000,0.00000000
Deconvolution,RichardsonLucyDeconvolutionImageFilter,944.4460,934.8868,0.9899,0.00000000,0.00000000
ConnectedComponents,ScalarConnectedComponentImageFilter,717.3809,728.0817,1.0149,0.00000000,0.00000000
Classifiers,ScalarImageKmeansImageFilter,2389.3864,2421.7356,1.0135,0.00000000,0.00000000
Colormap,ScalarToRGBColormapImageFilter,3.9904,5.1354,1.2870,0.00000000,0.00000000
LabelMap,ShapeKeepNObjectsLabelMapFilter,7.1452,8.4468,1.1822,0.00000000,0.00000000
ImageCompare,SimilarityIndexImageFilter,3.1130,3.4335,1.1030,0.00000000,0.00000000
SuperPixel,SLICImageFilter,152.3037,157.3941,1.0334,0.00000000,0.00000000
ImageStatistics,SumProjectionImageFilter,1.1610,1.9819,1.7070,0.00000000,0.00000000
Thresholding,ThresholdImageFilter,0.6141,1.3303,2.1664,0.00000000,0.00000000
Thresholding,ThresholdLabelerImageFilter,0.5690,1.3429,2.3599,0.00000000,0.00000000
Deconvolution,TikhonovDeconvolutionImageFilter,214.5038,214.7756,1.0013,0.00000000,0.00000000
Watersheds,TobogganImageFilter,113.2249,118.1578,1.0436,0.00000000,0.00000000
ImageIntensity,VectorMagnitudeImageFilter,3.0558,9.5264,3.1175,0.00000000,0.00000000
LabelVoting,VotingBinaryIterativeHoleFillingImageFilter,2.1323,2.3702,1.1116,0.00000000,0.00000000
ImageGrid,WarpImageFilter,4.4692,2.7417,0.6135,0.00000793,0.00000355
ImageIntensity,WeightedAddImageFilter,1.0056,2.2582,2.2457,0.00000000,0.00000000
Deconvolution,WienerDeconvolutionImageFilter,211.9451,221.6215,1.0457,0.00000000,0.00000000
ImageIntensity,XorImageFilter,0.5367,0.5285,0.9846,0.00000000,0.00000000
